URI,category1,category2
http://example.org/ifcp/category/p1/,風俗慣習,生産・生業
http://example.org/ifcp/category/p2/,風俗慣習,人生・儀礼
http://example.org/ifcp/category/p3/,風俗慣習,娯楽・競技
http://example.org/ifcp/category/p4/,風俗慣習,社会生活(民俗知識)
http://example.org/ifcp/category/p5/,風俗慣習,年中行事(信仰)
http://example.org/ifcp/category/p6/,風俗慣習,その他
http://example.org/ifcp/category/e1/,民俗芸能,神楽
http://example.org/ifcp/category/e2/,民俗芸能,田楽
http://example.org/ifcp/category/e3/,民俗芸能,風流
http://example.org/ifcp/category/e4/,民俗芸能,語り物・祝福芸
http://example.org/ifcp/category/e5/,民俗芸能,延年・おこない
http://example.org/ifcp/category/e6/,民俗芸能,渡来芸・舞台芸
http://example.org/ifcp/category/e7/,民俗芸能,その他
http://example.org/ifcp/category/t1/,民俗技術,生産・生業
http://example.org/ifcp/category/t2/,民俗技術,衣食住
http://example.org/ifcp/category/t3/,民俗技術,その他