管理対象ID,名称,文化財種類,種別1,種別2,重文指定年月日,都道府県,所在地,管理団体又は責任者
149,角館祭りのやま行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19910221,秋田県,,角館のお祭り保存会
150,近江中山の芋競べ祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19910221,滋賀県,,芋くらべ祭保存会
151,椎葉神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19910221,宮崎県,,椎葉神楽保存連合会
152,西表島の節祭,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19910221,沖縄県,,西表民俗芸能保存会
153,白間津のオオマチ（大祭）行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19920311,千葉県,,白間津区
154,隠岐の田楽と庭の舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19920311,島根県,,隠岐の田楽と庭の舞保存連合会　美田八幡宮田楽保存会（美田），日吉神社庭の舞保存会（浦郷）
155,鬼剣舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19931213,岩手県,,鬼剣舞連合保存会　岩崎鬼剣舞保存会，滑田鬼剣舞保存会，朴ノ木沢念仏剣舞保存会，川西念仏剣舞　保存会
156,野沢温泉の道祖神祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19931213,長野県,下高井郡野沢温泉村,野沢温泉村野沢組
157,与論の十五夜踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19931213,鹿児島県,,与論十五夜踊り保存会
158,宮古島のパーントゥ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19931213,沖縄県,,宮古島市島尻自治会，宮古島市野原部落会
159,江戸の里神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19941213,東京都,,若山社中，間宮社中，松本社中，山本社中
160,遠江のひよんどりとおくない,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e5,19941213,静岡県,,寺野会伝承保存会，川名ひよんどり保存会，懐山おくない保存会
161,津和野弥栄神社の鷺舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19941213,島根県,,弥栄神社の鷺舞保存会
162,大善寺玉垂宮の鬼夜,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19941213,福岡県,,大善寺玉垂宮鬼夜保存会
163,石井の七福神と田植踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19951226,福島県,,石井芸能保存会
164,越前万歳,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e4,19951226,福井県,,武生市越前万歳保存会
165,無生野の大念仏,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19951226,山梨県,,無生野大念仏保存会
166,三河万歳,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e4,19951226,愛知県,,"三河万歳連合保存会　
　安城の三河万歳保存会
　西尾市三河万歳保存会
　幸田町三河万歳保存会"
167,陀々堂の鬼はしり,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19951226,奈良県,,念仏寺鬼はしり保存会
168,春日の婿押し,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p2,19951226,福岡県,,春日三期組合
169,山之口の文弥人形,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19951226,宮崎県,,山之口麓文弥節人形浄瑠璃保存会
170,雄勝法印神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,19961220,宮城県,,雄勝法印神楽保存会
171,発光路の強飯式,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19961220,栃木県,,発光路妙見神社青年部
172,貴船神社の船祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19961220,神奈川県,,貴船祭保存会
173,郡上踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19961220,岐阜県,,郡上踊り保存会
174,尾張万歳,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e4,19961220,愛知県,,尾張万歳保存会
175,吉弘楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19961220,大分県,,吉弘楽保存会
176,日田祗園の曳山行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19961220,大分県,,日田祗園山鉾振興会
177,泉山の登拝行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p2,19971215,青森県,,泉山七歳児初参り保存会
178,土崎神明社祭の曳山行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19971215,秋田県,,土崎神明社奉賛会
179,大磯の左義長,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19971215,神奈川県,,大磯町左義長保存会
180,魚津のタテモン行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19971215,富山県,,魚津たてもん保存会
181,綾渡の夜念仏と盆踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19971215,愛知県,,綾渡夜念仏と盆踊り保存会
182,鳥出神社の鯨船行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19971215,三重県,,富田鯨船保存会連合会
183,久多の花笠踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19971215,京都府,,久多花笠踊保存会
184,大宮踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19971215,岡山県,,大宮踊保存会
185,安芸のはやし田,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,19971215,広島県,,安芸のはやし田連合保存会　新庄郷土芸術保存会　原田はやし田保存会
186,平戸のジャンガラ,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19971215,長崎県,,平戸市自安和楽念仏保存振興会
187,塩屋湾のウンガミ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19971215,沖縄県,,田港区、屋古区、塩屋区、白浜区
188,上郷の小正月行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19981216,秋田県,,"横岡サエの神保存会
大森サエの神保存会"
189,毛馬内の盆踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19981216,秋田県,,毛馬内盆踊保存会
190,大の阪,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19981216,新潟県,,大の阪の会
191,新野の盆踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19981216,長野県,,新野高原盆踊りの会
192,等覚寺の松会,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19981216,福岡県,,等覚寺松会保存会
193,菊池の松囃子,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19981216,熊本県,,御松囃子御能保存会
194,伊江島の村踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,19981216,沖縄県,,伊江村民俗芸能保存会
195,遊佐の小正月行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,19991221,山形県,,遊佐のアマハゲ保存会
196,神津島のかつお釣り行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,19991221,東京都,,物忌奈命神社かつお釣り保存会
197,山北のボタモチ祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19991221,新潟県,,中浜ボタモチ祭保存会、杉平ボタモチ祭保存会、岩石ボタモチ保存会
198,滑川のネブタ流し,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19991221,富山県,,中川原、常盤町一区・二区・三区
199,大江八幡神社の御船行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19991221,静岡県,,大江氏子会
200,有東木の盆踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,19991221,静岡県,,有東木芸能保存会
201,河内祭の御舟行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,19991221,和歌山県,,古座川河内祭保存会、古座獅子舞保存会
202,阿波人形浄瑠璃,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,19991221,徳島県,,財団法人阿波人形浄瑠璃振興会
203,羽田のお山がけ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p2,20001227,宮城県,,羽田神社総代会
204,米川の水かぶり,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20001227,宮城県,,米川の水かぶり保存会
205,片品の猿追い祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20001227,群馬県,,猿追い祭保存会
206,気多の鵜祭の習俗,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20001227,石川県,,気多大社、鵜浦町会
207,跡部の踊り念仏,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,20001227,長野県,,跡部踊り念仏保存会
208,見付天神裸祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20001227,静岡県,,見付天神裸祭保存会
209,田原の御田,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,20001227,京都府,,多治神社民俗芸能保存会
210,車大歳神社の翁舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,20001227,兵庫県,,車大歳神社翁舞保存会
211,奈良豆比古神社の翁舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,20001227,奈良県,,奈良豆比古神社翁舞講
212,三作神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20001227,山口県,,三作神楽保存会
213,白鬚神社の田楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,20001227,佐賀県,,白鬚神社の田楽保存会
214,樋越神明宮の春鍬祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,20020212,群馬県,,神明宮春鍬祭保存会
215,城端神明宮祭の曳山行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20020212,富山県,,城端曳山祭保存会
216,上野天神祭のダンジリ行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20020212,三重県,,上野文化美術保存会
217,塩原の大山供養田植,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,20020212,広島県,,小奴可地区芸能保存会
218,見島のカセドリ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20020220,佐賀県,,加勢鳥保存会
219,鹿沼今宮神社祭の屋台行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20030220,栃木県,,鹿沼いまみや付け祭り保存会
220,八戸三社大祭の山車行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20040206,青森県,,八戸三社大祭山車祭り行事保存会
221,吉浜のスネカ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20040206,岩手県,,吉浜スネカ保存会
222,根子番楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20040206,秋田県,,根子番楽保存会
223,小滝のチョウクライロ舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e5,20040206,秋田県,,鳥海山小滝舞楽保存会
224,都々古別神社の御田植,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,20040206,福島県,,八槻都々古別神社御田植保存会
225,木幡の幡祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p2,20040206,福島県,,木幡幡祭保存会
226,佐原の山車行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20040206,千葉県,,佐原山車行事伝承保存会
227,糸崎の仏舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,20040206,福井県,,仏舞保存会
228,鳥羽の火祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20040206,愛知県,,鳥羽区
229,松尾寺の仏舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,20040206,京都府,,松尾寺仏舞保存会
230,岩槻の古式土俵入り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p2,20050221,埼玉県,,釣上の子ども相撲土俵入り保存会、笹久保の古式子ども土俵入り保存会
231,川越氷川祭の山車行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20050221,埼玉県,,川越氷川祭の山車行事保存会
232,茂名の里芋祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20050221,千葉県,,茂名区
233,新島の大踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,20050221,東京都,,新島大踊保存会、若郷大踊保存会
234,三上のずいき祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20050221,滋賀県,,ずいき祭保存会
235,粟生のおも講と堂徒式,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p4（民俗知識）,20050221,和歌山県,,粟生のおも講と堂徒式保存会
236,五十猛のグロ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20050221,島根県,,大浦グロ保存会
237,大土地神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20050221,島根県,,大土地神楽保存会神楽方
238,津軽海峡及び周辺地域における和船製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20060315,青森県,津軽海峡周辺地域,津軽海峡及び周辺地域における和船製作技術保存会
239,黒森神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20060315,岩手県,,黒森神楽保存会
240,月浜のえんずのわり,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20060315,宮城県,,えんずのわり保存会
241,上総掘りの技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20060315,千葉県,千葉県上総地方,上総掘り技術伝承研究会
242,下平井の鳳凰の舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,20060315,東京都,,鳳凰の舞保存会
243,亀崎潮干祭の山車行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20060315,愛知県,,亀崎潮干祭保存会
244,犬山祭の車山行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20060315,愛知県,,犬山祭保存会
245,東光寺の鬼会,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20060315,兵庫県,加西市上万願寺392,東光寺追儺式及び田遊び保存会
246,別府明礬温泉の湯の花製造技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20060315,大分県,別府市明礬,明礬温泉湯の花製造技術保存会
247,小木のたらい舟製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20070307,新潟県,新潟県佐渡市小木,小木たらい舟製作技術保存会
248,江名子バンドリの製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t2,20070307,岐阜県,高山市江名子町,江名子バンドリ保存会
249,桑名石取祭の祭車行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20070307,三重県,,桑名石取祭保存会
250,酒津のトンドウ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20070307,鳥取県,,酒津とんど祭り保存会
251,御嶽神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20070307,大分県,,御嶽神楽保存会
252,小浜島の盆、結願祭、種子取祭の芸能,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e7,20070307,沖縄県,,小浜民俗芸能保存会
253,三島のサイノカミ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20080313,福島県,,三島町年中行事保存会
254,玉敷神社神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20080313,埼玉県,,玉敷神社神楽保存会
255,能登の揚浜式製塩の技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20080313,石川県,珠洲市清水町,能登の揚浜式製塩保存会
256,吉野の樽丸製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20080313,奈良県,,吉野の樽丸製作技術保存会
257,東郷文弥節人形浄瑠璃,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,20080313,鹿児島県,,東郷文弥節人形浄瑠璃保存会
258,秋田のイタヤ箕製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20090311,秋田県,"秋田市太平黒沢
仙北市角館町雲然","オエダラ箕製作技術保存会
角館イタヤ細工製作技術保存会"
259,新庄まつりの山車行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20090311,山形県,,新庄まつり山車行事保存会
260,木積の藤箕製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20090311,千葉県,匝瑳市木積,木積箕づくり保存会
261,越中福岡の菅笠製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t2,20090311,富山県,高岡市福岡町,越中福岡の菅笠製作技術保存会
262,佐伯灯籠,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e6,20090311,京都府,,佐伯灯籠保存会
263,三朝のジンショ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p3,20090311,鳥取県,,三朝区ジンショ保存会
264,阿月の神明祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20090311,山口県,,神明祭顕彰会
265,高原の神舞,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20100311,宮崎県,,"狭野神楽保存会
祓川神楽保存会"
266,邑町のサイノカミ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20100312,富山県,,塞の神まつり保存会
267,本海獅子舞番楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20110309,秋田県,,"本海獅子舞番楽伝承者協議会
　上百宅（かみももやけ）講中（こうちゅう）
　下百宅（しもももやけ）講中
　上直根（かみひたね）講中
　中直根（なかひたね）講中
　前ノ沢（まえのさわ）講中
　下直根（しもひたね）講中
　猿倉（さるくら）講中
　興屋（こうや）講中
　二階（にかい）講中
　天池（あまいけ）講中
　八木山（やきやま）講中
　平根（ひらね）講中
　提鍋（さげなべ）講中"
268,鴻巣の赤物製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20110309,埼玉県,鴻巣市,鴻巣の赤物保存会
269,三戸のオショロ流し,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20110309,神奈川県,三浦市初声町三戸,三戸お精霊流し保存会
270,小菅の柱松行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20110309,長野県,飯山市,小菅柱松保存会
271,阿万の風流大踊小踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20110309,兵庫県,,阿万風流踊保存会
272,八代妙見祭の神幸行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20110309,熊本県,八代市,八代妙見祭保存振興会
273,吉田の火祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20120308,山梨県,,吉田の火祭保存会
274,蛭ヶ谷の田遊び,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e2,20120308,静岡県,,蛭ヶ谷田遊び保存会
275,須成祭の車楽船行事と神葭流し,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20120308,愛知県,,須成文化財保護委員会
276,坂越の船祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20120308,兵庫県,,坂越の船渡御祭保存会
277,江包・大西の御綱,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20120308,奈良県,,江包・大西の御綱祭り保存会
278,地福のトイトイ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20120308,山口県,,地福といとい保存会
279,論田・熊無の藤箕製作技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20130312,富山県,,論田・熊無藤箕づくり技術保存会
280,呼子の大綱引き,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p3,20130312,佐賀県,,呼子大綱引振興会
281,球磨神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20130312,熊本県,,球磨神楽保存会
282,花輪祭の屋台行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20140310,秋田県,,花輪ばやし祭典委員会
283,松例祭の大松明行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20140310,山形県,,松例祭保存会
284,和合の念仏踊,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,20140310,長野県,,和合念佛踊り保存会
285,生里のモモテ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p3,20140310,香川県,,生里ももて祭保存会
286,大村の郡三踊（寿古踊・沖田踊・黒丸踊）,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e3,20140310,長崎県,,"寿古踊保存会
沖田踊保存会
黒丸踊保存会"
287,鵜鳥神楽,重要無形民俗文化財,ifcp:category/entertainment,ifcp:category/e1,20150302,岩手県,,鵜鳥神楽保存会
288,大垣祭の_行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20150302,岐阜県,,大垣祭保存会
289,長良川の鵜飼漁の技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20150302,岐阜県,,岐阜長良川鵜飼保存会、小瀬鵜飼保存会
290,那智の扇祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20150302,和歌山県,,那智の扇祭り保存会
291,大津祭の曳山行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20160302,滋賀県,,大津祭保存会
292,新宮の速玉祭・御燈祭り,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20160302,和歌山県,,熊野速玉大社祭事保存会
293,西大寺の会陽,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20160302,岡山県,,西大寺会陽保存会
294,種子島宝満神社の御田植祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,20160302,鹿児島県,,宝満神社赤米お田植え祭り保存会
295,常陸大津の御船祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20170303,茨城県,,常陸大津の御船祭保存会
296,鳥羽・志摩の海女漁の技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20170303,三重県,,鳥羽海女保存会・志摩海女保存会
297,阿波の太布製造技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20170303,徳島県,,阿波太布製造技法保存伝承会
298,悪石島のボゼ,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20170303,鹿児島県,,悪石島の盆踊り保存会
299,薩摩硫黄島のメンドン,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p5,20170303,鹿児島県,,硫黄島八朔太鼓踊り保存会
300,秩父吉田の龍勢,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p3,20180308,埼玉県,,吉田龍勢保存会
301,浦佐毘沙門堂の裸押合,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20180308,新潟県,,浦佐毘沙門堂裸押合大祭委員会
302,村上祭の屋台行事,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p6（信仰）,20180308,新潟県,,村上まつり保存会
303,輪島の海女漁の技術,重要無形民俗文化財,ifcp:category/teqnique,ifcp:category/t1,20180308,石川県,,輪島の海女漁保存振興会
304,会津の御田植祭,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,20190328,福島県,,"喜多方市：慶徳稲荷神社お田植まつり保存会
会津美里町：御田植祭祭典委員会"
305,間々田のじゃがまいた,重要無形民俗文化財,ifcp:category/practice,ifcp:category/p1,20190328,栃木県,,間々田のじゃがまいた保存会